questions,year,topic
The ratio of mass percent of C and H of anorganic compound (CXHYOZ) is 6 : 1 Ifone molecule of the above compound(CXHYOZ) contains half as much oxygenas required to burn one molecule ofcompound CXHY completely to CO2 andH2O The empirical formula of compoundCXHYOZ is,2018,alkane
Which type of ‘defect’ has the presence ofcations in the interstitial sites ,2018,solid state
According to molecular orbital theorywhich of the following will not be a viable molecule ,2018,chemical_bonding
Which of the following lines correctly showthe temperature dependence ofequilibrium constant  K  for an exothermicreaction ,2018,chemical_equilibrium
The combustion of benzene (l) gives CO2(g)and H2O(l) Given that heat of combustionof benzene at constant volume is−32639 kJ mol−1 at 258 C; heat ofcombustion (in kJ mol−1) of benzene atconstant pressure will be :(R=8314 JK−1 mol−1),2018,thermodynamics
For 1 molal aqueous solution of thefollowing compounds which one willshow the highest freezing point ,2018,solutions
An aqueous solution contains 010 M H2Sand 020 M HCl If the equilibriumconstants for the formation of HS− from H2S is 10×10−7 and that of S2− fromHS− ions is 12×10−13 then theconcentration of S2− ions in aqueoussolution is,2018,chemical_equilibrium
 An aqueous solution contains an unknownconcentration of Ba2+ When 50 mL of a1 M solution of Na2SO4 is added BaSO4just begins to precipitate The final volumeis 500 mL The solubility product of BaSO4is 1×10−10 What is the originalconcentration of Ba2+ ,2018,chemical_equilibrium
At 5188 C the rate of decomposition of asample of gaseous acetaldehyde initiallyat a pressure of 363 Torr was100 Torr s−1 when 5% had reacted and05 Torr s−1 when 33% had reacted Theorder of the reaction is,2018,chemical_kinetics
How long (approximate) should water beelectrolysed by passing through100 amperes current so that the oxygenreleased can completely burn 2766 g ofdiborane (Atomic weight of B=108 u),2018,electrolysis
The recommended concentration offluoride ion in drinking water is up to1 ppm as fluoride ion is required to maketeeth enamel harder by converting[3Ca3(PO4)2⋅Ca(OH)2] to,2018,cordination_compounds
Which of the following compoundscontain(s) no covalent bond(s) KCl PH3 O2 B2H6 H2SO4,2018,chemical_bonding
Which of the following are Lewis acids ,2018,acidsbase_and_salts
Total number of lone pair of electrons in 3I− ion is,2018,p_blocks_elements
Which of the following salts is the mostbasic in aqueous solution,2018,acidsbase_and_salts
Hydrogen peroxide oxidises [Fe(CN)6]4−to [Fe(CN)6]3− in acidic medium butreduces [Fe(CN)6]3− to [Fe(CN)6]4− inalkaline medium The other productsformed are respectively,2018,metallurgy
The oxidation states ofCr in [Cr(H2O)6]Cl3 [Cr(C6H6)2] andK2[Cr(CN)2(O)2(O2)(NH3)] respectively are,2018,coordination_compounds
When metal ‘M’ is treated with NaOH awhite gelatinous precipitate ‘X’ is obtainedwhich is soluble in excess of NaOHCompound ’X’ when heated strongly givesan oxide which is used in chromatographyas an adsorbent The metal ‘M’ is,2018,p_blocks_elements
,2018,p_blocks_elements
